time_recorded,num,miss,date,mode,term,direction,etat
2022-06-24 10:06:43,PITO38,PITO,24-06-2022 10:30,R,87758896,1,
2022-06-24 10:06:43,EPIR21,EPIR,24-06-2022 10:31,R,87001479,0,
2022-06-24 10:06:43,KONI40,KONI,24-06-2022 10:36,R,87393579,0,
2022-06-24 10:06:43,ECHO25,ECHO,24-06-2022 10:41,R,87758623,0,Supprimé
2022-06-24 10:06:43,EPIR27,EPIR,24-06-2022 10:47,R,87001479,0,
2022-06-24 10:06:43,PITO44,PITO,24-06-2022 10:51,R,87758896,0,
2022-06-24 10:06:43,KONI46,KONI,24-06-2022 10:57,R,87393579,0,
2022-06-24 10:06:43,ECHO31,ECHO,24-06-2022 11:02,R,87001479,1,
2022-06-24 10:06:43,EPIR33,EPIR,24-06-2022 11:08,R,87001479,1,
2022-06-24 10:06:43,PITO50,PITO,24-06-2022 11:12,R,87758789,1,Supprimé
2022-06-24 10:06:43,KONI52,KONI,24-06-2022 11:18,R,87393579,1,
2022-06-24 10:06:43,ECHO37,ECHO,24-06-2022 11:23,R,87001479,1,
2022-06-24 10:06:43,EPIR39,EPIR,24-06-2022 11:29,R,87758623,1,Supprimé
2022-06-24 10:06:43,PITO56,PITO,24-06-2022 11:33,R,87758896,1,
2022-06-24 10:06:43,KONI58,KONI,24-06-2022 11:39,R,87393579,1,
2022-06-24 10:06:43,ECHO43,ECHO,24-06-2022 11:44,R,87001479,0,
2022-06-24 10:06:43,EPIR45,EPIR,24-06-2022 11:50,R,87001479,0,
2022-06-24 10:06:43,PITO62,PITO,24-06-2022 11:54,R,87758896,0,
2022-06-24 10:06:43,KONI64,KONI,24-06-2022 12:00,R,87758623,0,Supprimé
2022-06-24 10:06:43,ECHO49,ECHO,24-06-2022 12:05,R,87001479,0,
2022-06-24 10:06:43,EPIR51,EPIR,24-06-2022 12:11,R,87001479,1,
2022-06-24 10:06:43,PITO68,PITO,24-06-2022 12:15,R,87758896,0,
2022-06-24 10:06:43,KONI70,KONI,24-06-2022 12:21,R,87393579,1,
2022-06-24 10:06:43,ECHO55,ECHO,24-06-2022 12:26,R,87001479,1,
2022-06-24 10:06:43,EPIR57,EPIR,24-06-2022 12:32,R,87001479,1,
2022-06-24 10:06:43,KONI28,KONI,24-06-2022 10:13,R,87393579,0,
2022-06-24 10:06:43,KONI34,KONI,24-06-2022 10:15,R,87393579,1,
2022-06-24 10:06:43,PITO32,PITO,24-06-2022 10:16,R,87758789,1,
2022-06-24 10:06:43,EPIR15,EPIR,24-06-2022 10:20,R,87001479,1,
2022-06-24 10:06:43,ECHO19,ECHO,24-06-2022 10:29,R,87001479,1,
2022-06-24 10:06:43,PITO38,PITO,24-06-2022 10:30,R,87758896,1,
2022-06-24 10:06:43,EPIR21,EPIR,24-06-2022 10:31,R,87001479,0,
2022-06-24 10:06:43,KONI40,KONI,24-06-2022 10:36,R,87393579,0,
2022-06-24 10:06:43,ECHO25,ECHO,24-06-2022 10:41,R,87758623,0,Supprimé
2022-06-24 10:06:43,EPIR27,EPIR,24-06-2022 10:47,R,87001479,0,
2022-06-24 10:06:43,PITO44,PITO,24-06-2022 10:51,R,87758896,0,
2022-06-24 10:06:43,KONI46,KONI,24-06-2022 10:57,R,87393579,0,
2022-06-24 10:06:43,ECHO31,ECHO,24-06-2022 11:02,R,87001479,1,
2022-06-24 10:06:43,EPIR33,EPIR,24-06-2022 11:08,R,87001479,1,
2022-06-24 10:06:43,PITO50,PITO,24-06-2022 11:12,R,87758789,1,Supprimé
2022-06-24 10:06:43,KONI52,KONI,24-06-2022 11:18,R,87393579,1,
2022-06-24 10:06:43,ECHO37,ECHO,24-06-2022 11:23,R,87001479,1,
2022-06-24 10:06:43,EPIR39,EPIR,24-06-2022 11:29,R,87758623,1,Supprimé
2022-06-24 10:06:43,PITO56,PITO,24-06-2022 11:33,R,87758896,1,
2022-06-24 10:06:43,KONI58,KONI,24-06-2022 11:39,R,87393579,1,
2022-06-24 10:06:43,ECHO43,ECHO,24-06-2022 11:44,R,87001479,0,
2022-06-24 10:06:43,EPIR45,EPIR,24-06-2022 11:50,R,87001479,0,
2022-06-24 10:06:43,PITO62,PITO,24-06-2022 11:54,R,87758896,0,
2022-06-24 10:06:43,KONI64,KONI,24-06-2022 12:00,R,87758623,0,Supprimé
2022-06-24 10:06:43,ECHO49,ECHO,24-06-2022 12:05,R,87001479,0,
2022-06-24 10:06:43,EPIR51,EPIR,24-06-2022 12:11,R,87001479,1,
2022-06-24 10:06:43,PITO68,PITO,24-06-2022 12:15,R,87758896,0,
2022-06-24 10:06:43,KONI70,KONI,24-06-2022 12:21,R,87393579,1,
2022-06-24 10:06:43,ECHO55,ECHO,24-06-2022 12:26,R,87001479,1,
2022-06-24 10:06:43,EPIR57,EPIR,24-06-2022 12:32,R,87001479,1,
2022-06-24 10:06:43,KONI28,KONI,24-06-2022 10:13,R,87393579,0,
2022-06-24 10:06:43,KONI34,KONI,24-06-2022 10:15,R,87393579,1,
2022-06-24 10:06:43,PITO32,PITO,24-06-2022 10:16,R,87758789,1,
2022-06-24 10:06:43,EPIR15,EPIR,24-06-2022 10:20,R,87001479,1,
2022-06-24 10:06:43,ECHO19,ECHO,24-06-2022 10:29,R,87001479,1,
2022-06-24 10:06:43,PITO38,PITO,24-06-2022 10:30,R,87758896,1,
2022-06-24 10:06:43,EPIR21,EPIR,24-06-2022 10:31,R,87001479,0,
2022-06-24 10:06:43,KONI40,KONI,24-06-2022 10:36,R,87393579,0,
2022-06-24 10:06:43,ECHO25,ECHO,24-06-2022 10:41,R,87758623,0,Supprimé
2022-06-24 10:06:43,EPIR27,EPIR,24-06-2022 10:47,R,87001479,0,
2022-06-24 10:06:43,PITO44,PITO,24-06-2022 10:51,R,87758896,0,
2022-06-24 10:06:43,KONI46,KONI,24-06-2022 10:57,R,87393579,0,
2022-06-24 10:06:43,ECHO31,ECHO,24-06-2022 11:02,R,87001479,1,
2022-06-24 10:06:43,EPIR33,EPIR,24-06-2022 11:08,R,87001479,1,
2022-06-24 10:06:43,PITO50,PITO,24-06-2022 11:12,R,87758789,1,Supprimé
2022-06-24 10:06:43,KONI52,KONI,24-06-2022 11:18,R,87393579,1,
2022-06-24 10:06:43,ECHO37,ECHO,24-06-2022 11:23,R,87001479,1,
2022-06-24 10:06:43,EPIR39,EPIR,24-06-2022 11:29,R,87758623,1,Supprimé
2022-06-24 10:06:43,PITO56,PITO,24-06-2022 11:33,R,87758896,1,
2022-06-24 10:06:43,KONI58,KONI,24-06-2022 11:39,R,87393579,1,
2022-06-24 10:06:43,ECHO43,ECHO,24-06-2022 11:44,R,87001479,0,
2022-06-24 10:06:43,EPIR45,EPIR,24-06-2022 11:50,R,87001479,0,
2022-06-24 10:06:43,PITO62,PITO,24-06-2022 11:54,R,87758896,0,
2022-06-24 10:06:43,KONI64,KONI,24-06-2022 12:00,R,87758623,0,Supprimé
2022-06-24 10:06:43,ECHO49,ECHO,24-06-2022 12:05,R,87001479,0,
2022-06-24 10:06:43,EPIR51,EPIR,24-06-2022 12:11,R,87001479,1,
2022-06-24 10:06:43,PITO68,PITO,24-06-2022 12:15,R,87758896,0,
2022-06-24 10:06:43,KONI70,KONI,24-06-2022 12:21,R,87393579,1,
2022-06-24 10:06:43,ECHO55,ECHO,24-06-2022 12:26,R,87001479,1,
2022-06-24 10:06:43,EPIR57,EPIR,24-06-2022 12:32,R,87001479,1,
