time_recorded,num,miss,date,mode,term,direction,etat
2022-06-24 10:06:43,SOIE30,SOIE,24-06-2022 10:26,R,87758722,1,
2022-06-24 10:06:43,ILAV29,ILAV,24-06-2022 10:33,R,87271528,0,
2022-06-24 10:06:43,PITO32,PITO,24-06-2022 10:35,R,87758789,1,Supprimé
2022-06-24 10:06:43,KONI28,KONI,24-06-2022 10:38,R,87393579,0,
2022-06-24 10:06:43,ECHO31,ECHO,24-06-2022 10:39,R,87001479,1,
2022-06-24 10:06:43,KONI34,KONI,24-06-2022 10:41,R,87393579,1,
2022-06-24 10:06:43,EPIR33,EPIR,24-06-2022 10:45,R,87001479,1,
2022-06-24 10:06:43,SOIE36,SOIE,24-06-2022 10:47,R,87758722,1,
2022-06-24 10:06:43,ILAV35,ILAV,24-06-2022 10:54,R,87271528,1,
2022-06-24 10:06:43,PITO38,PITO,24-06-2022 10:56,R,87758896,1,
2022-06-24 10:06:43,ECHO37,ECHO,24-06-2022 11:00,R,87001479,1,
2022-06-24 10:06:43,KONI40,KONI,24-06-2022 11:02,R,87393579,0,
2022-06-24 10:06:43,EPIR39,EPIR,24-06-2022 11:06,R,87758623,1,Supprimé
2022-06-24 10:06:43,SOIE42,SOIE,24-06-2022 11:08,R,87758722,0,
2022-06-24 10:06:43,ILAV23,ILAV,24-06-2022 10:12,R,87271528,0,Supprimé
2022-06-24 10:06:43,PITO26,PITO,24-06-2022 10:15,R,87758896,0,
2022-06-24 10:06:43,ECHO25,ECHO,24-06-2022 10:18,R,87758623,0,Supprimé
2022-06-24 10:06:43,EPIR27,EPIR,24-06-2022 10:24,R,87001479,0,
2022-06-24 10:06:43,SOIE30,SOIE,24-06-2022 10:26,R,87758722,1,
2022-06-24 10:06:43,ILAV29,ILAV,24-06-2022 10:33,R,87271528,0,
2022-06-24 10:06:43,PITO32,PITO,24-06-2022 10:35,R,87758789,1,Supprimé
2022-06-24 10:06:43,KONI28,KONI,24-06-2022 10:38,R,87393579,0,
2022-06-24 10:06:43,ECHO31,ECHO,24-06-2022 10:39,R,87001479,1,
2022-06-24 10:06:43,KONI34,KONI,24-06-2022 10:41,R,87393579,1,
2022-06-24 10:06:43,EPIR33,EPIR,24-06-2022 10:45,R,87001479,1,
2022-06-24 10:06:43,SOIE36,SOIE,24-06-2022 10:47,R,87758722,1,
2022-06-24 10:06:43,ILAV35,ILAV,24-06-2022 10:54,R,87271528,1,
2022-06-24 10:06:43,PITO38,PITO,24-06-2022 10:56,R,87758896,1,
2022-06-24 10:06:43,ECHO37,ECHO,24-06-2022 11:00,R,87001479,1,
2022-06-24 10:06:43,KONI40,KONI,24-06-2022 11:02,R,87393579,0,
2022-06-24 10:06:43,EPIR39,EPIR,24-06-2022 11:06,R,87758623,1,Supprimé
2022-06-24 10:06:43,SOIE42,SOIE,24-06-2022 11:08,R,87758722,0,
